mol_id,reason,retained_id
gdb_58,uncharacterized,
gdb_61,uncharacterized,
gdb_80,uncharacterized,
gdb_185,uncharacterized,
gdb_186,uncharacterized,
gdb_245,uncharacterized,
gdb_267,uncharacterized,
gdb_280,uncharacterized,
gdb_286,uncharacterized,
gdb_752,uncharacterized,
gdb_753,uncharacterized,
gdb_754,uncharacterized,
gdb_755,uncharacterized,
gdb_881,uncharacterized,
gdb_884,uncharacterized,
gdb_885,uncharacterized,
gdb_888,uncharacterized,
gdb_891,uncharacterized,
gdb_894,uncharacterized,
gdb_897,uncharacterized,
gdb_898,uncharacterized,
gdb_906,uncharacterized,
gdb_907,uncharacterized,
gdb_908,uncharacterized,
gdb_914,uncharacterized,
gdb_1003,uncharacterized,
gdb_1102,uncharacterized,
gdb_1115,uncharacterized,
gdb_1117,uncharacterized,
gdb_1126,uncharacterized,
gdb_1129,uncharacterized,
gdb_1232,uncharacterized,
gdb_1259,uncharacterized,
gdb_1265,uncharacterized,
gdb_1281,uncharacterized,
gdb_1284,uncharacterized,
gdb_1290,uncharacterized,
gdb_1584,uncharacterized,
gdb_1585,uncharacterized,
gdb_1588,uncharacterized,
gdb_1596,uncharacterized,
gdb_1600,uncharacterized,
gdb_1637,uncharacterized,
gdb_1645,uncharacterized,
gdb_1652,uncharacterized,
gdb_1654,uncharacterized,
gdb_1675,uncharacterized,
gdb_1680,uncharacterized,
gdb_1684,uncharacterized,
gdb_1685,uncharacterized,
gdb_1686,uncharacterized,
gdb_1806,uncharacterized,
gdb_1994,uncharacterized,
gdb_2356,uncharacterized,
gdb_2357,uncharacterized,
gdb_2386,uncharacterized,
gdb_3704,uncharacterized,
gdb_3751,uncharacterized,
gdb_3763,uncharacterized,
gdb_3771,uncharacterized,
gdb_3773,uncharacterized,
gdb_3831,uncharacterized,
gdb_3838,uncharacterized,
gdb_3842,uncharacterized,
gdb_3885,uncharacterized,
gdb_3886,uncharacterized,
gdb_3891,uncharacterized,
gdb_3895,uncharacterized,
gdb_3899,uncharacterized,
gdb_3941,uncharacterized,
gdb_3945,uncharacterized,
gdb_4010,uncharacterized,
gdb_4232,uncharacterized,
gdb_4239,uncharacterized,
gdb_4240,uncharacterized,
gdb_4266,uncharacterized,
gdb_4267,uncharacterized,
gdb_4276,uncharacterized,
gdb_4277,uncharacterized,
gdb_4278,uncharacterized,
gdb_4290,uncharacterized,
gdb_4291,uncharacterized,
gdb_4292,uncharacterized,
gdb_4293,uncharacterized,
gdb_4303,uncharacterized,
gdb_4329,uncharacterized,
gdb_4392,uncharacterized,
gdb_4395,uncharacterized,
gdb_4396,uncharacterized,
gdb_4422,uncharacterized,
gdb_4423,uncharacterized,
gdb_4427,uncharacterized,
gdb_4429,uncharacterized,
gdb_4430,uncharacterized,
gdb_4435,uncharacterized,
gdb_4436,uncharacterized,
gdb_4439,uncharacterized,
gdb_4441,uncharacterized,
gdb_4444,uncharacterized,
gdb_4445,uncharacterized,
gdb_4450,uncharacterized,
gdb_4451,uncharacterized,
gdb_4555,uncharacterized,
gdb_4558,uncharacterized,
gdb_4561,uncharacterized,
gdb_4607,uncharacterized,
gdb_4613,uncharacterized,
gdb_4623,uncharacterized,
gdb_4625,uncharacterized,
gdb_4626,uncharacterized,
gdb_4627,uncharacterized,
gdb_4628,uncharacterized,
gdb_4629,uncharacterized,
gdb_4635,uncharacterized,
gdb_4636,uncharacterized,
gdb_4807,uncharacterized,
gdb_4871,uncharacterized,
gdb_4872,uncharacterized,
gdb_4876,uncharacterized,
gdb_4879,uncharacterized,
gdb_4880,uncharacterized,
gdb_4883,uncharacterized,
gdb_4885,uncharacterized,
gdb_4888,uncharacterized,
gdb_4891,uncharacterized,
gdb_4892,uncharacterized,
gdb_4895,uncharacterized,
gdb_4898,uncharacterized,
gdb_4899,uncharacterized,
gdb_4939,uncharacterized,
gdb_4940,uncharacterized,
gdb_4997,uncharacterized,
gdb_5003,uncharacterized,
gdb_5006,uncharacterized,
gdb_5011,uncharacterized,
gdb_5013,uncharacterized,
gdb_5014,uncharacterized,
gdb_5016,uncharacterized,
gdb_5020,uncharacterized,
gdb_5023,uncharacterized,
gdb_5026,uncharacterized,
gdb_5032,uncharacterized,
gdb_5034,uncharacterized,
gdb_5040,uncharacterized,
gdb_5100,uncharacterized,
gdb_5101,uncharacterized,
gdb_5279,uncharacterized,
gdb_5280,uncharacterized,
gdb_5281,uncharacterized,
gdb_5292,uncharacterized,
gdb_5367,uncharacterized,
gdb_5370,uncharacterized,
gdb_5373,uncharacterized,
gdb_5374,uncharacterized,
gdb_5418,uncharacterized,
gdb_5419,uncharacterized,
gdb_5557,uncharacterized,
gdb_5598,uncharacterized,
gdb_5599,uncharacterized,
gdb_5631,uncharacterized,
gdb_5642,uncharacterized,
gdb_5730,uncharacterized,
gdb_6006,uncharacterized,
gdb_6009,uncharacterized,
gdb_6035,uncharacterized,
gdb_6036,uncharacterized,
gdb_6037,uncharacterized,
gdb_6041,uncharacterized,
gdb_6044,uncharacterized,
gdb_6061,uncharacterized,
gdb_6062,uncharacterized,
gdb_6063,uncharacterized,
gdb_6073,uncharacterized,
gdb_6074,uncharacterized,
gdb_6081,uncharacterized,
gdb_6093,uncharacterized,
gdb_6096,uncharacterized,
gdb_6103,uncharacterized,
gdb_6245,uncharacterized,
gdb_6253,uncharacterized,
gdb_6314,uncharacterized,
gdb_6324,uncharacterized,
gdb_6330,uncharacterized,
gdb_6344,uncharacterized,
gdb_6346,uncharacterized,
gdb_6358,uncharacterized,
gdb_6360,uncharacterized,
gdb_6385,uncharacterized,
gdb_6398,uncharacterized,
gdb_6401,uncharacterized,
gdb_6402,uncharacterized,
gdb_6406,uncharacterized,
gdb_6407,uncharacterized,
gdb_6408,uncharacterized,
gdb_6493,uncharacterized,
gdb_6497,uncharacterized,
gdb_6665,uncharacterized,
gdb_6684,uncharacterized,
gdb_6723,uncharacterized,
gdb_6726,uncharacterized,
gdb_6733,uncharacterized,
gdb_6742,uncharacterized,
gdb_6751,uncharacterized,
gdb_6755,uncharacterized,
gdb_6773,uncharacterized,
gdb_6776,uncharacterized,
gdb_6779,uncharacterized,
gdb_6790,uncharacterized,
gdb_6791,uncharacterized,
gdb_6792,uncharacterized,
gdb_6793,uncharacterized,
gdb_7120,uncharacterized,
gdb_7207,uncharacterized,
gdb_7215,uncharacterized,
gdb_7224,uncharacterized,
gdb_7225,uncharacterized,
gdb_7234,uncharacterized,
gdb_7235,uncharacterized,
gdb_7236,uncharacterized,
gdb_7237,uncharacterized,
gdb_7238,uncharacterized,
gdb_7245,uncharacterized,
gdb_7301,uncharacterized,
gdb_7306,uncharacterized,
gdb_7316,uncharacterized,
gdb_7323,uncharacterized,
gdb_7328,uncharacterized,
gdb_7333,uncharacterized,
gdb_7337,uncharacterized,
gdb_7339,uncharacterized,
gdb_7360,uncharacterized,
gdb_7365,uncharacterized,
gdb_7370,uncharacterized,
gdb_7376,uncharacterized,
gdb_7377,uncharacterized,
gdb_7380,uncharacterized,
gdb_7384,uncharacterized,
gdb_7385,uncharacterized,
gdb_7401,uncharacterized,
