mol_id,smiles,homo,split
gdb_102173,COC(CC#N)C(C)C,-0.2601,train
gdb_131891,Cc1occc1[N+](=O)[O-],-0.2512,train
gdb_50550,C#CCC1CCN1C=O,-0.2417,train
gdb_114687,CC12CC1CC(CO)O2,-0.2342,train
gdb_86114,CC1=CCC(=O)C(O)C1,-0.247,train
gdb_117444,N#CCNC(=O)CCO,-0.2693,train
gdb_81440,OC1C2OC1C1(O)CC21,-0.2481,train
gdb_8154,CC1CC2(O)CC2O1,-0.2344,train
gdb_13674,C#CCOC1CC1O,-0.2382,train
gdb_128513,COc1[nH]nc(N)c1N,-0.1847,train
gdb_20400,c1[nH]nc2c1CCN2,-0.1899,train
gdb_58351,CC(C)N(C=O)C(C)C,-0.2361,train
gdb_85127,CN1CC(=O)C1(C)C=O,-0.2232,train
gdb_73169,C#CC1CC2OCC12C,-0.2425,train
gdb_119235,COCC1(C=O)CC1C,-0.2447,train
gdb_14082,CN1CC12CNC2=O,-0.2331,train
gdb_80407,CC12CC(C1)C(O)C2=O,-0.2334,train
gdb_47644,N=C1CCC=CCCO1,-0.2434,train
gdb_111948,CN1C(=O)C=CC1CO,-0.2451,train
gdb_57691,CC(C)(C#N)OCC#N,-0.3025,train
gdb_17659,CC1(C2CO2)COC1,-0.2449,train
gdb_120301,CCCC1C2COC12C,-0.2267,train
gdb_131656,C#Cc1cc(CO)on1,-0.2596,train
gdb_112968,COC1CC(C(C)O)C1,-0.2364,train
gdb_2255,N=C1OC2CC12N,-0.2443,train
gdb_5855,COC(C)C(C)(C)C,-0.2478,train
gdb_43186,O=C1C2COC23CNC13,-0.2278,train
gdb_102938,CCC(C#N)OCC=O,-0.2688,train
gdb_45633,C#CCC1=CNC(=O)C1,-0.2155,train
gdb_64552,CC1(C=O)C2CC1C2=O,-0.2552,train
gdb_33324,N#CC#CC1C2COC12,-0.2561,train
gdb_105765,N#CC1(CN)CCCO1,-0.2453,train
gdb_104773,O=CC1CC1(CO)CO,-0.2509,train
gdb_107166,CC1C2C1C1(CO)CN21,-0.2238,train
gdb_116606,CCN=C1OCC1(C)O,-0.2513,train
gdb_112977,COC1CC(N2CC2)C1,-0.2293,train
gdb_7201,COCC(C)CCO,-0.2515,train
gdb_8920,CCN(C)C(C)C#N,-0.2327,train
gdb_96705,CN=C(C#N)NC(C)C,-0.2363,train
gdb_40082,C1=C2C(CC23CC3)OC1,-0.2232,train
gdb_60226,CC(O)CC1CN=CO1,-0.244,train
gdb_100925,COC(C)C(C=O)OC,-0.2397,train
gdb_121371,COCC1OCCC1O,-0.2412,train
gdb_109152,CCC1=NCC(C)(C)O1,-0.2369,train
gdb_2069,N=C1COCCO1,-0.2564,train
gdb_82007,CC1N2CC2C1(O)C#N,-0.2541,train
gdb_76579,OC1C(O)C12CCCC2,-0.2258,train
gdb_87511,CC1OC12C1C=CC2C1,-0.2277,train
gdb_114359,CCC1CC2C(O)CC12,-0.2475,train
gdb_36327,C#CCC1CC(C#C)C1,-0.2559,train
gdb_65000,N=COC(=O)C1(O)CC1,-0.2601,train
gdb_44058,O=C1OC23CCC12CC3,-0.2595,train
gdb_83107,N=C1C(O)C2CN=CN12,-0.243,train
gdb_128024,CN=CNc1conn1,-0.226,train
gdb_107203,CCC12CC3NC3C1O2,-0.2368,train
gdb_121358,CCOC1CCCC1C,-0.2437,train
gdb_39435,C1OCC2CC23OCC13,-0.2266,train
gdb_88116,CC1CC12CCCC2=O,-0.2334,train
gdb_97263,C#CC(C)(C#N)N=CN,-0.2502,train
gdb_113010,COC1CN(C=O)C1C,-0.2399,train
gdb_128210,CNc1cc(OC)no1,-0.2045,train
gdb_131175,Oc1nn[nH]c1C1CN1,-0.2214,train
gdb_118475,CCOC(CO)C(C)O,-0.2483,train
gdb_108558,COC12CCC3OC1C32,-0.2151,train
gdb_66747,CC12C3C(=O)C1C1C3C12,-0.2218,train
gdb_100372,C#CC(C)(CC)NC=O,-0.2526,train
gdb_75116,CC1=CCC(=O)COC1,-0.2237,train
gdb_58189,CC(O)C(O)C(C)(C)C,-0.2478,train
gdb_108595,OCC12CCCC1C2O,-0.2472,train
gdb_103983,CC1(CO)OC2CC21C,-0.2352,train
gdb_123980,C1=NCc2[nH]nnc2O1,-0.2387,train
gdb_131328,Oc1nn2nnnc2[nH]1,-0.2684,train
gdb_507,CC#CCC#N,-0.2693,train
gdb_23504,ON=C1CC2C3OC2C13,-0.2394,train
gdb_126644,CCCN=c1onno1,-0.2723,train
gdb_92499,CC1CC2CCC2(O)C1,-0.246,train
gdb_14143,OC1CC12C=CCC2,-0.2174,train
gdb_132070,N=c1ocnc(F)c1N,-0.2053,train
gdb_58138,C#CC(O)(C=O)C(C)O,-0.2523,train
gdb_90289,O=C1C=C2CC(O)C2C1,-0.2301,train
gdb_1302,CC1(C)CNC1=O,-0.2417,train
gdb_114395,CCC1CC2C(=O)CC12,-0.2357,train
gdb_79833,CC1C2CCC3C1C23C,-0.2375,train
gdb_125063,Cc1onnc1C(N)=O,-0.2668,train
gdb_11645,N#CC12CC(N1)C2N,-0.2481,train
gdb_86497,C#CCN=C1CC(C)O1,-0.2459,train
gdb_61075,CN(C=O)C1CCOC1,-0.2351,train
gdb_113822,CCC1NC1C1OC1C,-0.2475,train
gdb_41078,C1OC2C3C4C5C4C12N35,-0.2288,train
gdb_52266,O=COCC1CC=CC1,-0.2499,train
gdb_5774,c1coc(C2CO2)c1,-0.2222,train
gdb_22104,CC(CN(C)C=O)=NO,-0.2434,train
gdb_73012,CC12OCC1C21CCO1,-0.2114,train
gdb_34788,C#CC1C2CC1(C#C)O2,-0.247,train
gdb_121326,COCC1CCNC1=O,-0.2383,train
gdb_55177,NC(=O)C1CC2CCC21,-0.2365,train
gdb_31914,N#Cc1ccc(CO)[nH]1,-0.2239,train
gdb_22495,C[NH2+]CCC(C#N)=N[O-],-0.1196,train
gdb_104617,CC1CC(C#N)(CN)N1,-0.2383,train
gdb_5883,CCC#CC(C)(C)C,-0.2393,train
gdb_126638,CCCn1nn[nH]c1=O,-0.2473,train
gdb_65843,C#CC1(C)COC(=O)N1,-0.269,train
gdb_78182,CN1CC(=O)C2C(O)C21,-0.2107,train
gdb_87368,CC1CC12C(=O)CN2C,-0.2151,train
