mol_id,split
gdb_74694,test
gdb_23324,test
gdb_70557,test
gdb_85535,test
gdb_29367,test
gdb_19584,test
gdb_85088,test
gdb_111432,test
gdb_53309,test
gdb_94333,test
gdb_128779,test
gdb_49931,test
gdb_47443,test
gdb_3423,test
gdb_77142,test
gdb_99855,test
gdb_33561,test
gdb_84977,test
gdb_104633,test
gdb_97663,test
gdb_69787,test
gdb_42808,test
gdb_10168,test
gdb_110580,test
gdb_93240,test
gdb_90268,test
gdb_101356,test
gdb_124217,test
gdb_89637,test
gdb_52872,test
gdb_86876,test
gdb_130260,test
gdb_80953,test
gdb_63774,test
gdb_43313,test
gdb_97788,test
gdb_36144,test
gdb_83346,test
gdb_52916,test
gdb_20601,test
gdb_105583,test
gdb_34938,test
gdb_4495,test
gdb_41734,test
gdb_95304,test
gdb_19574,test
gdb_11693,test
gdb_10525,test
gdb_75505,test
gdb_33397,test
gdb_35844,test
gdb_127807,test
gdb_80496,test
gdb_63346,test
gdb_117162,test
gdb_48472,test
gdb_26951,test
gdb_5251,test
gdb_120004,test
gdb_109502,test
gdb_7894,test
gdb_51543,test
gdb_89076,test
gdb_94220,test
gdb_30915,test
gdb_97824,test
gdb_27089,test
gdb_114476,test
gdb_127433,test
gdb_115576,test
gdb_26071,test
gdb_42351,test
gdb_34811,test
gdb_84800,test
gdb_74545,test
gdb_59814,test
gdb_69604,test
gdb_29970,test
gdb_85105,test
gdb_88362,test
gdb_3044,test
gdb_106612,test
gdb_98758,test
gdb_69508,test
gdb_26666,test
gdb_32448,test
gdb_53898,test
gdb_51757,test
gdb_88069,test
gdb_106985,test
gdb_1147,test
gdb_110127,test
gdb_125136,test
gdb_46253,test
gdb_130971,test
gdb_10805,test
gdb_19688,test
gdb_76939,test
gdb_127908,test
gdb_30211,test
gdb_51103,test
gdb_52000,test
gdb_40867,test
gdb_129235,test
gdb_88062,test
gdb_114239,test
gdb_70362,test
gdb_10201,test
gdb_104643,test
gdb_81802,test
gdb_28319,test
gdb_123181,test
gdb_116833,test
gdb_57792,test
gdb_52720,test
gdb_85690,test
gdb_8257,test
gdb_2629,test
gdb_3484,test
gdb_8757,test
gdb_59991,test
gdb_65132,test
gdb_49888,test
gdb_104541,test
gdb_8777,test
gdb_129143,test
gdb_55474,test
gdb_112467,test
gdb_107019,test
gdb_108012,test
gdb_10549,test
gdb_114906,test
gdb_33792,test
gdb_1097,test
gdb_38223,test
gdb_81537,test
gdb_123517,test
gdb_8222,test
gdb_112744,test
gdb_58812,test
gdb_17207,test
